Articulo_ID,CUI,Fecha_Publicacion_Articulo,Titulo_Articulo,Descripcion_Articulo,Medio,URL_Acortada,Pais_Origen_Articulo,Cod_Continente,Idioma,Categoria_tematica,Relevancia_Mencion,Frecuencia_Mencion,Impacto_Articulo,Keywords,Clasificacion_Sust_Estup_Decomisada,Tipo_Sus_Estup_Decomisada,Cant_Sust_Estup_Sintetica_incautada,Unidad,Fueza_interviniente,Ubicacion_Secuestro,Region,Sub region,Pais,Provincia,Distrito,Alfa_2,ISO_3166_2,Geo_Pais,Geo_Prov,Geo_Distrito,Fecha,Dia,Semana,Quincena,Mes_Largo,Trimestre,Año
,A96,9/03/2025,,,,,,,,,,,,,Estimulante sintetico,Cristal,"0,04365",KG,,,,,,,,,,"-32.953025, -55.974972","-34.909352, -56.178759","-34.830674, -56.145811",9/03/2025,9,2,1,Marzo,T1,2025
A0000097,A97,9/03/2025,Las 43 caras que tiene el tusi en el mercado negro de Medellín,"Discotecas, bares, plazas de vicio y hasta domiciliarios lo distribuyen. También hay de fabricación casera.",www.elcolombiano.com,https://tinyurl.com/5n8de6j4,Colombia,SA,ES,Incidente,Alta,Media,Bajo,"TUSI, 43 Marcas identificadas, Mercado Negro, Bares, Plazas, Fiestas Electronicas, Redes Sociales",Alucinogeno,TUSI,"0,000",Sin datos,No especificado,Valle de Aburra,America,America del Sur,Colombia,Antioquia,Medellin,CO,ISO 3166-2:CO,"4.068636, -72.886324","6.493807, -75.552400","6.252041, -75.586361",9/03/2025,9,2,1,Marzo,T1,2025
A0000098,A98,10/03/2025,Operativo Integrado entre COD y Hacienda desmantela invernadero de marihuana e incauta drogas sintéticas,"En todo el Estado de Goiás, en las últimas 24 horas, la PMGO realizó 93 detenciones y confiscó 16 armas de fuego y 124 cartuchos de municiones de diversos calibres",www.goias.gov.br,https://tinyurl.com/5x33u3yy,Brasil,SA,ES,Incidente,Alta,Media,Bajo,"MDMA, Marihuana, Skunk, Arma de Fuego, Invernadero",Estimulante y empatogeno,MDMA,441,Pastillas,Comando de Operaciones de Frontera,Quirinopolis,America,America del Sur,Brasil,Goias,Quirinopolis,BR,ISO 3166-2:BR,"-8.843614, -52.200865","-16.861615, -50.107909","-18.451034, -50.451379",10/03/2025,10,2,1,Marzo,T1,2025
A0000099,A99,11/03/2025,"Golpe al narcotráfico: en un gran operativo, secuestraron tusi, éxtasis y LSD",La investigación fue dirigida desde la Unidad de Delitos Complejos y Procedimientos Judiciales de Roca.,www.lcr.com.ar,https://tinyurl.com/8r5mb4w2,Argentina,SA,ES,Incidente,Alta,Media,Medio,"TUSI, MDMA, LSD, Cocaina, Fiestas Electronicas",Alucinogeno,TUSI,"0,000",Sin datos,Gendarmeria Nacional Argentina,Neuquen,America,America del Sur,Argentina,Neuquen,Neuquen,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-38.950085, -68.085506","-38.950085, -68.085506",11/03/2025,11,2,1,Marzo,T1,2025
,A99,11/03/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,"0,000",Sin datos,,,,,,,,,,"-37.650894, -65.897084","-38.950085, -68.085506","-38.950085, -68.085506",11/03/2025,11,2,1,Marzo,T1,2025
,A99,11/03/2025,,,,,,,,,,,,,Alucinogeno,LSD,"0,000",Sin datos,,,,,,,,,,"-37.650894, -65.897084","-38.950085, -68.085506","-38.950085, -68.085506",11/03/2025,11,2,1,Marzo,T1,2025
A0000100,A100,11/03/2025,PDI Atacama: Aprehendida mujer que ingresó diversas sustancias ilícitas al CDP Vallenar,,www.chanarcillo.cl,https://tinyurl.com/yhv8e9fa,Chile,SA,ES,Incidente,Media,Media,Medio,"Ketamina, Cocaina, Marihuana, Centro de Detención Preventiva",Anestesico disociativo,Ketamina,"0,000",Sin datos,Brigada de Investigación Criminal,Vallenar,America,America del Sur,Chile,Atacama,Vallenar,CL,ISO 3166-2:CL,"-27.575850, -70.259596","-28.578498, -70.757169","-28.575860, -70.762148",11/03/2025,11,2,1,Marzo,T1,2025
A0000101,A101,11/03/2025,Carabineros incautó más de un kilo de drogas en Meiggs,"Tres sujetos, de 21, 23 y 31 años, fueron detenidos tras patrullajes preventivos en el sector.",www.cooperativa.cl,https://tinyurl.com/4cw4dt2h,Chile,SA,ES,Incidente,Media,Baja,Medio,"Ketamina, Banano, Patrullaje Preventivo",Anestesico disociativo,Ketamina,"0,3",KG,Carabineros,Meiggs,America,America del Sur,Chile,Santiago de Chile,Santiago de Chile,CL,ISO 3166-2:CL,"-35.270325, -71.315779","-33.451113, -70.662930","-33.451113, -70.662930",11/03/2025,11,2,1,Marzo,T1,2025
A0000102,A102,11/03/2025,Capturan a tres personas en vías de Caldas,,www.bcnoticias.com.co,https://tinyurl.com/bdhh5a2w,Colombia,SA,ES,Incidente,Media,Media,Medio,"Ketamina, TUSI, MDMA, Inspeccion Vehiculo",Alucinogeno,TUSI,"4,6",Dosis,Policía de Tránsito y Transporte,Chinchina,America,America del Sur,Colombia,Caldas,Chinchina,CO,ISO 3166-2:CO,"4.068636, -72.886324","5.289745, -75.405812","4.984055, -75.605947",11/03/2025,11,2,1,Marzo,T1,2025
,A102,11/03/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,11,Pastillas,,,,,,,,,,"4.068636, -72.886324","5.289745, -75.405812","4.984055, -75.605947",11/03/2025,11,2,1,Marzo,T1,2025
,A102,11/03/2025,,,,,,,,,,,,,Anestesico disociativo,Ketamina,"0,1",KG,,,,,,,,,,"4.068636, -72.886324","5.289745, -75.405812","4.984055, -75.605947",11/03/2025,11,2,1,Marzo,T1,2025
A0000103,A103,11/03/2025,La Receita Federal incauta R$ 450 mil en drogas sintéticas a una empresa de transporte en Ceará,"En los paquetes estaban ocultas más de tres mil pastillas de éxtasis, una droga sintética y alucinógena.",www.gp1.com.br,https://tinyurl.com/5y2jaf3b,Brasil,SA,ES,Incidente,Media,Media,Medio,"MDMA, Cristal, Paquetes Postales",Estimulante y empatogeno,MDMA,"0,100",KG,Reserva Federal / Aduana,Fortaleza,America,America del Sur,Brasil,Ceara,Fortaleza,BR,ISO 3166-2:BR,"-8.843614, -52.200865","-4.950504, -39.464859","-3.746898, -38.515666",11/03/2025,11,2,1,Marzo,T1,2025
,A103,11/03/2025,,,,,,,,,,,,,Estimulante sintetico,Cristal,"0,100",KG,,,,,,,,,,"-8.843614, -52.200865","-4.950504, -39.464859","-3.746898, -38.515666",11/03/2025,11,2,1,Marzo,T1,2025
A0000104,A104,12/03/2025,Detienen a joven de 25 años en un taxi con casi $ 15 millones en pastillas de éxtasis,,www.msn.com,https://tinyurl.com/3ynzppwj,Uruguay,SA,ES,Incidente,Alta,Bajo,Medio,"MDMA, Puente Internacional Mauá, Transporte y entrega de Sustancia Estupefaciente",Estimulante y empatogeno,MDMA,20.000,Pastillas,Prefectura,Rio Branco,America,America del Sur,Uruguay,Cerro Largo,Rio Branco,UY,ISO 3166-2:UY,"-32.953025, -55.974972","-32.342187, -54.365063","-32.597756, -53.381470",12/03/2025,12,2,1,Marzo,T1,2025
A0000105,A105,12/03/2025,Dos detenidos en Villarrica por tráfico de drogas: uno de ellos con antecedentes penales por el mismo delito,El trabajo de la sección antidrogas de Carabineros en la región sigue dando frutos,www.noticiasdelsur.cl,https://tinyurl.com/4mhdkw98,Chile,SA,ES,Incidente,Media,Media,Medio,"Ketamina, Cocaina, Marihuana, Domicilio Particular",Anestesico disociativo,Ketamina,"0,235",KG,Carabineros,Villarrica,America,America del Sur,Chile,Arica y Parinacota,Arica,CL,ISO 3166-2:CL,"-35.270325, -71.315779","-18.631376, -69.973576","-18.462123, -70.290826",12/03/2025,12,2,1,Marzo,T1,2025
A0000106,A106,12/03/2025,PDI Arica detuvo a extranjero por tráfico de drogas a través de pasos no habilitados en la frontera,"En el operativo, al imputado se le incautaron poco más de 16,5 kilos de cocaína base, casi 5 kilos de clorhidrato de cocaína y 900 gramos de ketamina.",www.epicentrochile.com,https://tinyurl.com/5be4me9k,Chile,SA,ES,Incidente,Media,Media,Medio,"Ketamina, Cocaina, Pasta Base, Paso no Habilitado de Frontera, Vehiculo, Nacionalidad Peruana",Anestesico disociativo,Ketamina,"0,9",KG,Policia de Investigaciones,Arica,America,America del Sur,Chile,Arica y Parinacota,Arica,CL,ISO 3166-2:CL,"-35.270325, -71.315779","-18.631376, -69.973576","-18.462123, -70.290826",12/03/2025,12,2,1,Marzo,T1,2025
A0000107,A107,12/03/2025,"Detienen a mujer que formaba parte de la banda de la ""Reina del Tusi""",,www.radioprensa.cl,https://tinyurl.com/pkd6pkzp,Chile,SA,ES,Incidente,Alta,Media,Medio,"TUSI, Domicilio",Alucinogeno,TUSI,50,Bolsas,Carabineros,Melipilla,America,America del Sur,Chile,Melipilla,Melipilla,CL,ISO 3166-2:CL,"-35.270325, -71.315779","-33.685908, -71.213072","-33.685908, -71.213072",12/03/2025,12,2,1,Marzo,T1,2025
A0000108,A108,12/03/2025,"En el segundo mayor decomiso de éxtasis en la historia de la PRF, la corporación incauta 95.5 mil pastillas de la droga en PR","Según la policía, se encontró éxtasis en un automóvil después de que el conductor realizó una maniobra de adelantamiento ilegal en la autopista",www.g1.globo.com,https://tinyurl.com/j3baje33,Brasil,SA,ES,Incidente,Alta,Media,Medio,"MDMA, Inspeccion Vehicular, Carretera",Estimulante y empatogeno,MDMA,95.500,Pastillas,Policía Federal de Carreteras,Céu Azul,America,America del Sur,Brasil,Parana,Céu Azul,BR,ISO 3166-2:BR,"-8.843614, -52.200865","-25.429297, -49.277458","-25.148960, -53.850367",12/03/2025,12,2,1,Marzo,T1,2025
A0000109,A109,12/03/2025,Detienen a hombre y se incautan más de 100 kilos de droga en Cachoeirinha,,www.pc.rs.gov.br,https://tinyurl.com/mr3y4p7x,Brasil,SA,ES,Incidente,Alta,Media,Medio,"MDMA, Marihuana, Flagrancia",Estimulante y empatogeno,MDMA,"0,120",KG,Denarc,Cachoeirinha,America,America del Sur,Brasil,Río Grande del Sur,Cachoeirinha,BR,ISO 3166-2:BR,"-8.843614, -52.200865","-29.552617, -53.344405","-29.935976, -51.096467",12/03/2025,12,2,1,Marzo,T1,2025
A0000110,A110,13/03/2025,PDI ARICA DETUVO A DOS IMPUTADAS POR TRÁFICO DE DROGAS EN COMPLEJO FRONTERIZO CHACALLUTA,"Detectives de la Avanzada Antinarcóticos Chacalluta, detuvieron a dos imputadas de nacionalidad chilena,",www.vilasradio.cl,https://tinyurl.com/yu8watnx,Chile,SA,ES,Incidente,Alta,Media,Medio,"Ketamina, Paso Fronterizo Complejo Chacalluta, Bolsas adosadas a sus cuerpos",Anestesico disociativo,Ketamina,4,KG,Policia de Investigaciones,Chacalluta,America,America del Sur,Chile,Arica y Parinacota,Arica,CL,ISO 3166-2:CL,"-35.270325, -71.315779","-18.631376, -69.973576","-18.462123, -70.290826",13/03/2025,13,2,1,Marzo,T1,2025
A0000111,A111,13/03/2025,Vallenarino intentó ingresar droga a la cárcel por 'amor',Quedó en prisión preventiva por tráfico de sustancias ilícitas.,www.soy-chile.cl,https://tinyurl.com/49w3tauu,Chile,SA,ES,Incidente,Media,Media,Medio,"Ketamina, Cocaina, Marihuana, Clonazepan, Carcel de la Comuna",Anestesico disociativo,Ketamina,"0,00866",KG,Gendarmeria,Vallenar,America,America del Sur,Chile,Atacama,Vallenar,CL,ISO 3166-2:CL,"-27.575850, -70.259596","-28.578498, -70.757169","-28.575860, -70.762148",13/03/2025,13,2,1,Marzo,T1,2025
A0000112,A112,14/03/2025,"Tusi y cocaína a la vista de todos: los negocios de “Las Dueñas de la Carlos Gardel”, (a) ""El Hampa"", (a) ""La Bonaerense""",Tres mujeres fueron detenidas por la Policía Bonaerense en la periferia de los monoblocks de El Palomar. Qué les encontraron,www.infobae.com,https://tinyurl.com/yhpbkywy,Argentina,SA,ES,Incidente,Alta,Media,Medio,"TUSI, Cocaina, Arma de Fuego, Soldaditos",Alucinogeno,TUSI,"0,000",Sin datos,Policia de la Provincia de Buenos Aires,Villa Carlos Gardel,America,America del Sur,Argentina,Buenos Aires,El Palomar,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-36.167212, -58.079474","-34.625729, -58.575327",14/03/2025,14,2,1,Marzo,T1,2025
A0000113,A113,15/03/2025,Detienen al padre de Marcianeke en operativo antidrogas en Talca,El fiscal regional (s) Héctor de la Fuente confirmó que uno de los detenidos es el padre del cantante urbano.,www.epicentrochile.com,https://tinyurl.com/4mxsk9hy,Chile,SA,ES,Incidente,Media,Media,Medio,"Ketamina, Cocaina, Marihuana, Estructura Delictual",Anestesico disociativo,Ketamina,"0,000",Sin datos,Policía de Investigaciones,Talca,America,America del Sur,Chile,Maule,Talca,CL,ISO 3166-2:CL,"-27.575850, -70.259596","-35.569004, -71.235594","-35.431596, -71.664815",15/03/2025,15,2,1,Marzo,T1,2025
A0000114,A114,15/03/2025,Desarticulan estructura criminal en barrio norte de Talca dedicada al narcotráfico,,www.diariolamañana.cl,https://tinyurl.com/3rbm9e2t,Chile,SA,ES,Incidente,Media,Media,Medio,"Ketamina, Cocaina, Marihuana, Estructura Delictual, Venta y Acopio",Anestesico disociativo,Ketamina,2.350,Dosis,Policía de Investigaciones,Talca,America,America del Sur,Chile,Talca,Talca,CL,ISO 3166-2:CL,"-27.575850, -70.259596","-35.569004, -71.235594","-35.569004, -71.235594",15/03/2025,15,2,1,Marzo,T1,2025
A0000115,A115,16/03/2025,Detienen a taxista venezolano por tráfico ilícito de drogas en Miraflores,"A este sujeto le encontraron bolsitas que contenían cocaína, marihuana y LSD.",www.diarioviral.pe,https://tinyurl.com/2u743xx9,Peru,SA,ES,Incidente,Media,Media,Medio,"LSD, Cocaina, Marihuana, taxista, Nacionalidad Venezuela",Alucinogeno,LSD,4,Bolsas,Policia Nacional de Peru,Miraflores,America,America del Sur,Peru,Lima,Miraflores,PE,ISO 3166-2:PE,"-9.515798, -75.223851","-12.050744, -77.024414","-12.131410, -77.026470",16/03/2025,16,3,2,Marzo,T1,2025
A0000116,A116,17/03/2025,PDI DETUVO A MUJER POR TRÁFICO DE DROGAS EN AEROPUERTO CHACALLUTA DE ARICA,PORTABA MÁS DE 2 KILOS DE KETAMINA,www.vilasradio.cl,https://tinyurl.com/e6wx7xb6,Chile,SA,ES,Incidente,Alta,Bajo,Medio,"Ketamina, Fajas Adosadas al Cuerpo, Aeropuerto de Chacalluta, Nacionalidad Peruana",Anestesico disociativo,Ketamina,2,KG,Policia de Investigaciones,Chacalluta,America,America del Sur,Chile,Arica y Parinacota,Arica,CL,ISO 3166-2:CL,"-35.270325, -71.315779","-18.631376, -69.973576","-18.462123, -70.290826",17/03/2025,17,3,2,Marzo,T1,2025
A0000117,A117,17/03/2025,Detienen a tres personas e incauta drogas y armas en operativo MT-0 en Freirina,Llevaron a cabo un operativo en la comuna de Freirina que permitió la detención de tres personas por el ilícito de microtráfico de drogas,www.atacamanoticias.cl,https://tinyurl.com/327wtjnj,Chile,SA,ES,Incidente,Media,Bajo,Medio,"Ketamina, Cannabis, Arma de Fuego",Anestesico disociativo,Ketamina,"0,00369",KG,Policia de Investigaciones,Vicuña Mackeda,America,America del Sur,Chile,Huasco,Freirina,CL,ISO 3166-2:CL,"-27.575850, -70.259596","-28.467077, -71.220558","-28.510011, -71.081295",17/03/2025,17,3,2,Marzo,T1,2025
A0000118,A118,17/03/2025,Policía intercepta transporte de drogas sintéticas a fiesta Rave y detiene a cinco personas en Tramandaí,Acción conjunta de la Policía Militar y la Policía Civil impide la distribución de más de 600 pastillas en una fiesta rave.,www.terra.com.br,https://tinyurl.com/387p5at2,Brasil,SA,ES,Incidente,Media,Media,Medio,"K, Fiesta Rave, Denuncia, Autobus",NSP,K,527,Tabletas,Policia Civil,Tramandaí,America,America del Sur,Brasil,Río Grande del Sur,Tramandaí,BR,ISO 3166-2:BR,"-8.843614, -52.200865","-29.552617, -53.344405","-30.033373, -50.150620",17/03/2025,17,3,2,Marzo,T1,2025
,A118,17/03/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,113,Pastillas,,,,,,,,,,"-8.843614, -52.200865","-29.552617, -53.344405","-30.033373, -50.150620",17/03/2025,17,3,2,Marzo,T1,2025
A0000119,A119,17/03/2025,ÉXTASIS: Denarc detiene al 'Rey de las Drogas Sintéticas' durante un operativo con el Servicio de Impuestos Federales,Delincuente recibió drogas por correo,www.rondoniaovivo.com,https://tinyurl.com/94c997v8,Brasil,SA,ES,Incidente,Alta,Media,Medio,"MDMA, Correo, Fiesta RAVE",Estimulante y empatogeno,MDMA,200,Pastillas,Denarc,Jaru,America,America del Sur,Brasil,Rondonia,Jaru,BR,ISO 3166-2:BR,"-8.843614, -52.200865","-10.691150, -63.050387","-10.436506, -62.473919",17/03/2025,17,3,2,Marzo,T1,2025
A0000120,A120,18/03/2025,Incautan varios tipos de sustancias prohibidas en Rio Branco,Procedimiento por parte del Área de Investigaciones de Río Branco permitió condenar a dos hombres y una mujer,www.gub.uy,https://tinyurl.com/kbvs6pyk,Uruguay,SA,ES,Incidente,Media,Bajo,Medio,"Ketamina, MDMA, Marihuana, Cocaina, Cogollos, Transporte",Anestesico disociativo,Ketamina,"46,00",Frascos,Área de Investigaciones II,Rio Branco,America,America del Sur,Uruguay,Cerro Largo,Rio Branco,UY,ISO 3166-2:UY,"-32.953025, -55.974972","-32.342187, -54.365063","-32.597756, -53.381470",18/03/2025,18,3,2,Marzo,T1,2025
,A120,18/03/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,63,Pastillas,,,,,,,,,,"-32.953025, -55.974972","-32.342187, -54.365063","-32.597756, -53.381470",18/03/2025,18,3,2,Marzo,T1,2025
A0000121,A121,18/03/2025,El jaguel: Cuatro personas detenidas por tenencia y venta de estupefacientes,,www.eldiariosur.com,https://tinyurl.com/bddd44xr,Argentina,SA,ES,Incidente,Media,Bajo,Medio,"TUSI, Cocaina, Marihuana, Arma de Fuego, Allanamiento",Alucinogeno,TUSI,"0,000",Sin datos,Policia de la Provincia de Buenos Aires,Esteban Echeverria,America,America del Sur,Argentina,Buenos Aires,Esteban Echeverria,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-36.167212, -58.079474","-34.876146, -58.471960",18/03/2025,18,3,2,Marzo,T1,2025
A0000122,A122,18/03/2025,Dos detenidos por venta de drogas en automóvil en el centro de Santiago,"Los sujetos portaban 55 bolsas con diferentes cantidades de tusi, éxtasis y marihuana.",www.cooperativa.cl,https://tinyurl.com/y8r6zadc,Chile,SA,ES,Incidente,Media,Bajo,Medio,"TUSI, MDMA, Marihuana",Alucinogeno,TUSI,"0,000",Sin datos,Carabineros,Santiago,America,America del Sur,Chile,Santiago de Chile,Santiago de Chile,CL,ISO 3166-2:CL,"-35.270325, -71.315779","-33.451113, -70.662930","-33.451113, -70.662930",18/03/2025,18,3,2,Marzo,T1,2025
,A122,18/03/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,"0,000",Sin datos,,,,,,,,,,"-35.270325, -71.315779","-33.451113, -70.662930","-33.451113, -70.662930",18/03/2025,18,3,2,Marzo,T1,2025
A0000123,A123,18/03/2025,PDI ARICA DETUVO A EXTRANJERO EN COMPLEJO FRONTERIZO CHACALLUTA: PORTABA MÁS DE 15 MIL DOSIS DE KETAMINA,,www.vilasradio.cl,https://tinyurl.com/mpsnwudt,Chile,SA,ES,Incidente,Media,Bajo,Medio,"Ketamina, Paquetes Contenedores, Paso Fronterizo, Masculino Extranjero",Anestesico disociativo,Ketamina,"3,78",KG,Policia de Investigaciones,Chacalluta,America,America del Sur,Chile,Arica y Parinacota,Arica,CL,ISO 3166-2:CL,"-35.270325, -71.315779","-18.631376, -69.973576","-18.462123, -70.290826",18/03/2025,18,3,2,Marzo,T1,2025
A0000124,A124,19/03/2025,Megaoperativo en Paraná y Oro Verde: revelan detalles de la multimillonaria incautación,"Se detuvo a siete personas y se incautaron 12 vehículos, más de 1.800 plantas de marihuana, cocaína rosa, éxtasis, LSD y más.",www.ahora.com.ar,https://tinyurl.com/5dt645mm,Argentina,SA,ES,Incidente,Media,Media,Medio,"TUSI, LSD, MDMA, Marihuana Plantas, Cogollos, Estructura Criminal, Allanamientos, Requisa Vehicular",Alucinogeno,TUSI,"0,000",Sin datos,,Parana,America,America del Sur,Argentina,Entre Rios,Parana,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-31.930198, -59.180947","-31.748765, -60.515306",19/03/2025,19,3,2,Marzo,T1,2025
,A124,19/03/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,6,Pastillas,,,,,,,,,,"-37.650894, -65.897084","-31.930198, -59.180947","-31.748765, -60.515306",19/03/2025,19,3,2,Marzo,T1,2025
,A124,19/03/2025,,,,,,,,,,,,,Alucinogeno,LSD,1,Troquel,,,,,,,,,,"-37.650894, -65.897084","-31.930198, -59.180947","-31.748765, -60.515306",19/03/2025,19,3,2,Marzo,T1,2025
A0000125,A125,19/03/2025,Incautan gran cantidad de éxtasis oculta en tarros de aceite de oliva: Perros de Aduanas detectaron la droga,,www.meganoticias.cl,https://tinyurl.com/299fccn9,Chile,SA,ES,Incidente,Alta,Media,Medio,"MDMA, Aeropuerto, Correo Rapido, Binomio Canino, Rayos X, Ciudadano Español",Estimulante y empatogeno,MDMA,2.100,Pastillas,Servicio Nacional de Aduanas,Pudahuel,America,America del Sur,Chile,Santiago de Chile,Pudahuel,CL,ISO 3166-2:CL,"-35.270325, -71.315779","-33.451113, -70.662930","-33.389619, -70.797268",19/03/2025,19,3,2,Marzo,T1,2025
,A125,19/03/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,"0,180",KG,,,,,,,,,,"-35.270325, -71.315779","-33.451113, -70.662930","-33.389619, -70.797268",19/03/2025,19,3,2,Marzo,T1,2025
,A125,19/03/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,6,Litros,,,,,,,,,,"-35.270325, -71.315779","-33.451113, -70.662930","-33.389619, -70.797268",19/03/2025,19,3,2,Marzo,T1,2025
A0000126,A126,21/03/2025,Adulto mayor intentó ingresar droga camuflada en un plato de chunchullo o chunchurria a estación de Policía,"El hombre fue arrestado por tratar de introducir dosis de tusi, bazuco, marihuana y cocaína para los reclusos",www.infobae.com,https://tinyurl.com/23ybh55r,Colombia,SA,ES,Incidente,Alta,Media,Medio,"TUSI, Bazuco, Marihuana, Cocaina, Binomio Canino, Visita Internos",Alucinogeno,TUSI,"0,000",Sin datos,Policia Nacional de Colombia,Bucaramanga,America,America del Sur,Colombia,Santander,Bucaramanga,CO,ISO 3166-2:CO,"4.068636, -72.886324","6.754707, -73.393233","7.113039, -73.125908",21/03/2025,21,3,2,Marzo,T1,2025
A0000127,A127,22/03/2025,Encuentran 97 ovoides de ketamina al interior de mujer boliviana en Chañaral: Quedó detenida,Se estima que la droga habría sido comercializada por más de $12.200.000 pesos.,www.t13.cl,https://tinyurl.com/2u2ke3h7,Chile,SA,ES,Incidente,Alta,Media,Medio,"Ketamina, Ovoides, Nacionalidad Boliviana, Bus interurbano",Anestesico disociativo,Ketamina,"1,216",KG,Cabineros,Chañaral,America,America del Sur,Chile,Chañaral,Chañaral,CL,ISO 3166-2:CL,"-35.270325, -71.315779","-26.343036, -70.614759","-26.343036, -70.614759",22/03/2025,22,3,2,Marzo,T1,2025
A0000128,A128,22/03/2025,Operación antinarcóticos captura sospechoso e incauta drogas sintéticas y dinero en propiedad de Limeira,"La acción ocurrió en el centro de Limeira este viernes (21). El MP encontró R$ 10,9 mil, porciones de hachís y drogas sintéticas como MD, LSD",www.g1.globo.com,https://tinyurl.com/yp77azf7,Brasil,SA,ES,Incidente,Alta,Media,Medio,"LSD ,MD, Hachis, Operación Impacto.MDMA",Alucinogeno,LSD,39,Micropuntos,Policia Militar,Limeira,America,America del Sur,Brasil,San Pablo,Limeira,BR,ISO 3166-2:BR,"-8.843614, -52.200865","-23.612485, -47.144437","-22.566199, -47.411027",22/03/2025,22,3,2,Marzo,T1,2025
,A128,22/03/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,342,Tabletas,,,,,,,,,,"-8.843614, -52.200865","-23.612485, -47.144437","-22.566199, -47.411027",22/03/2025,22,3,2,Marzo,T1,2025
A0000129,A129,23/03/2025,Un enfermero de un hospital público y su hermano fueron detenidos por robar y vender fentanilo,Ocurrió en Concepción del Uruguay y la droga la sustraía del centro de salud donde trabajaba,www.infobae.com,https://tinyurl.com/4n5fwn6j,Argentina,SA,ES,Incidente,Alta,Media,Medio,"Fentanilo, Lorazepam, Carbamazepina, Risperidona, Sustraccion Ampollas, Hospital Justo José de Urquiza",Opioide Sintetico,Fentanilo,64,Ampollas,Policia Federal Argentina,Concepción del Uruguay,America,America del Sur,Argentina,Entre Rios,Concepción del Uruguay,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-31.930198, -59.180947","-32.483155, -58.249033",23/03/2025,23,4,2,Marzo,T1,2025
A0000130,A130,23/03/2025,Seis drogas se venden en avenidas y plazuelas céntricas de Cochabamba,,www.lostiempos.com,https://tinyurl.com/46zcsye3,Bolivia,SA,ES,Incidente,Media,Media,Medio,"TUSI, Cristal, Marihuana, Cocaina, Hongos, Microtrafico",Alucinogeno,TUSI,"0,000",Sin datos,Fuerza Especial de Lucha Contra el Narcotráfico,Cochabamba,America,America del Sur,Bolivia,Cercado,Cochabamba,BO,ISO 3166-2:BO,"-16.277995, -64.397735","-17.411480, -66.179610","-17.396843, -66.153033",23/03/2025,23,4,2,Marzo,T1,2025
,A130,23/03/2025,,,,,,,,,,,,,Estimulante y empatogeno,MDMA,"0,000",Sin datos,,,,,,,,,,"-16.277995, -64.397735","-17.411480, -66.179610","-17.396843, -66.153033",23/03/2025,23,4,2,Marzo,T1,2025
A0000131,A131,24/03/2025,Llevaban 100 frascos de drogas sintéticas en vía Bucaramanga – Barrancabermeja,Los capturados transportaban esta sustancia ilícita en un bus de transporte intermunicipal. Conozca para qué sirve la ketamina.,www.qhubobucaramanga.com,https://tinyurl.com/58w59abf,Colombia,SA,ES,Incidente,Media,Media,Medio,"Ketamina, Bus de transporte intermunicipal, Frascos, Ocultamiento",Anestesico disociativo,Ketamina,100,Frascos,Policia de Colombia,Barrancabermeja,America,America del Sur,Colombia,Santander,Barrancabermeja,CO,ISO 3166-2:CO,"4.068636, -72.886324","6.754707, -73.393233","7.093303, -73.702117",24/03/2025,24,4,2,Marzo,T1,2025
A0000132,A132,24/03/2025,Ica: han sido enviados a la cárcel tras hallarles un kilo de marihuana y “tusi”,"Iban en mototaxi y tenían clorhidrato de cocaína (tusi). Además, se encontraron municiones de arma de fuego",www.diariocorreo.pe,https://tinyurl.com/ycy3yta4,Peru,SA,ES,Incidente,Alta,Media,Medio,"TUSI, Marihuana, Tren de Aragua, Mototaxi, Venezolanos",Alucinogeno,TUSI,"0,000",Sin datos,Policia Nacional del Peru,Subtanjalla,America,America del Sur,Peru,Ica,Subtanjalla,PE,ISO 3166-2:PE,"-9.515798, -75.223851","-14.074664, -75.743748","-14.021916, -75.754319",24/03/2025,24,4,2,Marzo,T1,2025
A0000133,A133,24/03/2025,Cayó un dealer de “Tusi” en Morón: lo atraparon con 54 dosis mientras viajaba en un Uber,El joven de 28 años llevaba la droga oculta en su ropa y tenía más de $113.000 en efectivo,www.oestenoticias.com,https://tinyurl.com/yj9fdckw,Argentina,SA,ES,Incidente,Alta,Media,Medio,"TUSI, Uber, Requisa",Alucinogeno,TUSI,"0,0692",KG,Fuerza Barrial de Aproximación (FBA),Moron,America,America del Sur,Argentina,Buenos Aires,Moron,AR,ISO 3166-2:AR,"-37.650894, -65.897084","-36.167212, -58.079474","-34.665521, -58.617208",24/03/2025,24,4,2,Marzo,T1,2025
